Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Bose, Soumya; Ouh, Hyunkyu; Sengupta, Shaan; Johnston, Matthew L; ",Parametric study of pn junctions and structures for CMOS-integrated single-photon avalanche diodes,IEEE Sensors Journal,18,13,5291-5299,2018,IEEE
"Lindsay, McKay; Sengupta, Shaan; Bishop, Kevin; Co, Megan; Chen, Chien-Hua; Cumbie, Michael; Johnston, Matthew L; ",Scalable hybrid integration of CMOS circuits and fluidic networks for biosensor applications,2017 IEEE Biomedical Circuits and Systems Conference (BioCAS),,,1-4,2017,IEEE
"Clocker, Kyle; Sengupta, Shaan; Lindsay, McKay; Johnston, Matthew L; ",Single-element thermal flow sensor using dual-slope control scheme,2017 IEEE SENSORS,,,1-3,2017,IEEE
"Sengupta, Shaan; Johnston, Matthew L; ",A widely reconfigurable piecewise-linear ADC for information-aware quantization,IEEE Transactions on Circuits and Systems II: Express Briefs,68,4,1073-1077,2020,IEEE
"Sengupta, Shaan; Johnston, Matthew L; ",A SiPM-based gamma spectrometer with field-programmable energy binning for data-efficient isotope analysis,IEEE Transactions on Circuits and Systems I: Regular Papers,70,3,1133-1146,2022,IEEE
"Sengupta, Shaan; Johnston, Matthew L; ",A multichannel analyzer with programmable energy bins for gamma ray spectroscopy,2021 IEEE International Midwest Symposium on Circuits and Systems (MWSCAS),,,121-124,2021,IEEE
"Ouh, Hyunkyu; Sengupta, Shaan; Bose, Soumya; Johnston, Matthew L; ","Dual-mode, enhanced dynamic range CMOS optical sensor for biomedical applications",2017 IEEE Biomedical Circuits and Systems Conference (BioCAS),,,1-4,2017,IEEE
"Clocker, Kyle; Sengupta, Shaan; Johnston, Matthew L; ","A fully-integrated, single-element CMOS anemometer",IEEE Sensors Letters,3,2,1-4,2019,IEEE
"Sengupta, S; Johnston, ML; ","Two‐step, piecewise‐linear SAR ADC with programmable transfer function",Electronics Letters,55,8,444-446,2019,Wiley Online Library
"Lindsay, McKay; Bishop, Kevin; Sengupta, Shaan; Co, Megan; Cumbie, Michael; Chen, Chien-Hua; Johnston, Matthew L; ",Heterogeneous integration of CMOS sensors and fluidic networks using wafer-level molding,IEEE transactions on biomedical circuits and systems,12,5,1046-1055,2018,IEEE
"Sengupta, Shaan; ",CMOS Transducers and Programmable Interface Circuits for Resource-Efficient Sensing Applications,,,,,2021,
"Sengupta, Shaan; Ouh, Hyunkyu; Johnston, Matthew L; ",An all-digital CMOS ambient light sensor using a single photon avalanche diode,2017 IEEE SENSORS,,,1-3,2017,IEEE
